,Active.Date,COUNTY,LEGAL.NAME,INSTITUTION.TYPE.DESCRIPTION,INSTITUTION.SUB.TYPE.DESCRIPTION,GRADE.ORGANIZATION.DESCRIPTION,MAILING.ADDRESS,MAIL.CITY,STATE,ZIP,location,long,lat
1295,7/1/1980,WESTCHESTER,LOUIS M KLEIN MIDDLE SCHOOL,PUBLIC SCHOOLS,PUBLIC SCHOOL INDEPENDENT CENTRAL,Middle School,50 UNION AVE,HARRISON,NY,10528,"50 UNION AVE, HARRISON, NY 10528",-73.7193008,40.9787957
1296,7/1/1980,WESTCHESTER,GREENBURGH CENTRAL SCHOOL DISTRICT,SCHOOL DISTRICTS,INDEPENDENT CENTRAL,NA,475 W HARTSDALE AVE-ADMIN BLDG,HARTSDALE,NY,10530,"475 W HARTSDALE AVE-ADMIN BLDG, HARTSDALE, NY 10530",-73.7999523,41.0307288
1297,7/1/1980,WESTCHESTER,WOODLANDS SENIOR HIGH SCHOOL,PUBLIC SCHOOLS,PUBLIC SCHOOL INDEPENDENT CENTRAL,Senior High,475 W HARTSDALE AVE,HARTSDALE,NY,10530,"475 W HARTSDALE AVE, HARTSDALE, NY 10530",-73.7995017,41.0305449
1298,7/1/1992,WESTCHESTER,WOODLANDS MIDDLE SCHOOL,PUBLIC SCHOOLS,PUBLIC SCHOOL INDEPENDENT CENTRAL,Junior High School,475 W HARTSDALE AVE,HARTSDALE,NY,10530,"475 W HARTSDALE AVE, HARTSDALE, NY 10530",-73.7995017,41.0305449
1299,7/1/1980,WESTCHESTER,EARLY CHILDHOOD PROGRAM,PUBLIC SCHOOLS,PUBLIC SCHOOL INDEPENDENT CENTRAL,Pre-K Only,475 W HARTSDALE AVE,HARTSDALE,NY,10530,"475 W HARTSDALE AVE, HARTSDALE, NY 10530",-73.7995017,41.0305449
1300,7/1/1980,WESTCHESTER,HIGHVIEW SCHOOL,PUBLIC SCHOOLS,PUBLIC SCHOOL INDEPENDENT CENTRAL,Elementary,200 N CENTRAL AVE,HARTSDALE,NY,10530,"200 N CENTRAL AVE, HARTSDALE, NY 10530",-73.7910149,41.0225156
1301,7/1/1980,WESTCHESTER,SACRED HEART SCHOOL,NON-PUBLIC SCHOOLS,ROMAN CATHOLIC - ARCHDIOCESE OF NY,Elementary,59 WILSON ST,HARTSDALE,NY,10530,"59 WILSON ST, HARTSDALE, NY 10530",-73.7963285,41.0201249
1302,7/1/1980,WESTCHESTER,MARIA REGINA HIGH SCHOOL,NON-PUBLIC SCHOOLS,ROMAN CATHOLIC - ARCHDIOCESE OF NY,Senior High,500 W HARTSDALE AVE,HARTSDALE,NY,10530,"500 W HARTSDALE AVE, HARTSDALE, NY 10530",-73.8103404,41.0330144
1303,7/1/2001,WESTCHESTER,SOLOMON SCHECHTER OF WESTCHESTER-UPPER SCHOOL,NON-PUBLIC SCHOOLS,JEWISH,Junior Senior School,555 W HARTSDALE AVE,HARTSDALE,NY,10530,"555 W HARTSDALE AVE, HARTSDALE, NY 10530",-73.808132,41.0323314
1304,7/1/1980,WESTCHESTER,HAWTHORNE ELEMENTARY SCHOOL,PUBLIC SCHOOLS,PUBLIC SCHOOL INDEPENDENT CENTRAL,Elementary,225 MEMORIAL DR,HAWTHORNE,NY,10532,"225 MEMORIAL DR, HAWTHORNE, NY 10532",-73.8008259,41.1021559
1305,7/1/2001,WESTCHESTER,HAWTHORNE COUNTRY DAY SCHOOL,NON-PUBLIC SCHOOLS,INDEPENDENT,Special School,5 BRADHURST AVE,HAWTHORNE,NY,10532,"5 BRADHURST AVE, HAWTHORNE, NY 10532",-73.798362,41.08479
