Active Date,COUNTY,LEGAL NAME,INSTITUTION TYPE DESCRIPTION,INSTITUTION SUB TYPE DESCRIPTION,GRADE ORGANIZATION DESCRIPTION,MAILING ADDRESS,MAIL CITY,STATE,ZIP
7/1/12,KINGS,THE CO-OP SCHOOL,NON-PUBLIC SCHOOLS,INDEPENDENT,Elementary,40 BREVOORT PL,BROOKLYN,NY,11216
7/1/80,KINGS,PS 138,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Elementary,760 PROSPECT PL,BROOKLYN,NY,11216
7/1/80,KINGS,EPIPHANY LUTHERAN ELEMENTARY SCHOOL,NON-PUBLIC SCHOOLS,LUTHERAN,Elementary,721 LINCOLN PL,BROOKLYN,NY,11216
7/1/13,KINGS,SUCCESS ACADEMY CHARTER SCHOOL-PROSPECT HEIGHTS,PUBLIC SCHOOLS,CHARTER SCHOOL,Elementary,801 PARK PL-4TH FL,BROOKLYN,NY,11216
7/1/03,KINGS,PS 369 COY L COX SCHOOL,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,K-12 School,383 STATE ST,BROOKLYN,NY,11217
7/1/03,KINGS,PS 133 WILLIAM A BUTLER,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Elementary,610 BALTIC ST,BROOKLYN,NY,11217
7/1/80,KINGS,PS 282 PARK SLOPE,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Elementary,180 6TH AVE,BROOKLYN,NY,11217
7/1/03,KINGS,BROOKLYN TECHNICAL HIGH SCHOOL,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Senior High,29 FT GREENE PL,BROOKLYN,NY,11217
7/1/03,KINGS,BEDFORD ACADEMY HIGH SCHOOL,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Senior High,1119 BEDFORD AVE,BROOKLYN,NY,11217
7/1/80,KINGS,HANSON PLACE SDA ELEMENTARY SCHOOL,NON-PUBLIC SCHOOLS,SEVENTH-DAY ADVENTIST,Elementary,38 LAFAYETTE AVE,BROOKLYN,NY,11217
7/1/98,KINGS,PARK SLOPE CHRISTIAN ACADEMY,NON-PUBLIC SCHOOLS,BAPTIST,Elementary,98 5TH AVE,BROOKLYN,NY,11217
7/1/13,KINGS,"SCIENCE, LANGUAGE AND ARTS INTERNATIONAL SCHOOL",NON-PUBLIC SCHOOLS,INDEPENDENT,Elementary,126 ST FELIX ST,BROOKLYN,NY,11217
7/1/80,KINGS,BERKELEY-CARROLL SCHOOL,NON-PUBLIC SCHOOLS,INDEPENDENT,K-12 School,181 LINCOLN PL,BROOKLYN,NY,11217
7/1/80,KINGS,PS 38 PACIFIC (THE),PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Elementary,450 PACIFIC ST,BROOKLYN,NY,11217
7/1/03,KINGS,MATH AND SCIENCE EXPLORATORY SCHOOL (THE),PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Middle School,345 DEAN ST,BROOKLYN,NY,11217
7/1/07,KINGS,KHALIL GIBRAN INTERNATIONAL ACADEMY,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Senior High,362 SCHERMERHORN ST,BROOKLYN,NY,11217
7/1/03,KINGS,BROOKLYN HIGH SCHOOL OF THE ARTS,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Senior High,345 DEAN ST,BROOKLYN,NY,11217
7/1/12,KINGS,NEW DAWN CHARTER HIGH SCHOOL,PUBLIC SCHOOLS,CHARTER SCHOOL,Senior High,242 HOYT ST,BROOKLYN,NY,11217
7/1/80,KINGS,PS 130 PARKSIDE (THE),PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Elementary,70 OCEAN PKWY,BROOKLYN,NY,11218
7/1/80,KINGS,PS 230 DORIS L COHEN,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Elementary,1 ALBEMARLE RD,BROOKLYN,NY,11218
7/1/15,KINGS,MS 839,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Other,713 CATON AVE,BROOKLYN,NY,11218
7/1/06,KINGS,WEST BROOKLYN COMMUNITY HIGH SCHOOL,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Senior High,1053 41ST ST,BROOKLYN,NY,11218
7/1/11,KINGS,SHAARE TORAH ELEMENTARY SCHOOL FOR GIRLS,NON-PUBLIC SCHOOLS,JEWISH,Elementary,222 OCEAN PARKWAY,BROOKLYN,NY,11218
7/1/15,KINGS,TALMUD TORAH TIFERES YECHIEL D'ALEKSANDER INC,NON-PUBLIC SCHOOLS,JEWISH,Other,3810 14TH ST,BROOKLYN,NY,11218
7/1/09,KINGS,BROOKLYN PROSPECT CHARTER SCHOOL,PUBLIC SCHOOLS,CHARTER SCHOOL,Junior Senior School,3002 FORT HAMILTON PKWY,BROOKLYN,NY,11218
7/1/91,KINGS,BAIS MEIR,NON-PUBLIC SCHOOLS,JEWISH,Junior Senior School,1327 38TH ST,BROOKLYN,NY,11218
7/1/03,KINGS,JHS 62 DITMAS,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Middle School,700 CORTELYOU RD,BROOKLYN,NY,11218
7/1/80,KINGS,PS 179 KENSINGTON,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Elementary,202 AVE C,BROOKLYN,NY,11218
7/1/09,KINGS,ACADEMY OF TALENTED SCHOLARS (THE),PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Elementary,50 AVE P,BROOKLYN,NY,11218
7/1/09,KINGS,BROOKLYN SCHOOL OF INQUIRY,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Elementary,50 AVE P,BROOKLYN,NY,11218
7/1/80,KINGS,BAIS TZIPORAH,NON-PUBLIC SCHOOLS,JEWISH,K-12 School,1449 39TH ST,BROOKLYN,NY,11218
7/1/90,KINGS,BNOS YERUSHALAYIM,NON-PUBLIC SCHOOLS,JEWISH,K-12 School,600 MCDONALD AVE,BROOKLYN,NY,11218
7/1/80,KINGS,YESHIVA DERECH CHAIM,NON-PUBLIC SCHOOLS,JEWISH,Senior High,1573 39TH ST,BROOKLYN,NY,11218
7/1/00,KINGS,GAN YISROEL,NON-PUBLIC SCHOOLS,JEWISH,Elementary,3909 15TH AVE,BROOKLYN,NY,11218
7/1/01,KINGS,YESHIVA NESIVOS CHAIM,NON-PUBLIC SCHOOLS,JEWISH,Senior High,PO BOX 180399,BROOKLYN,NY,11218
7/1/80,KINGS,YESHIVA TORAH TEMIMAH,NON-PUBLIC SCHOOLS,JEWISH,K-12 School,555 OCEAN PKY,BROOKLYN,NY,11218
7/1/99,KINGS,PS 134,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Elementary,4001 18TH AVE,BROOKLYN,NY,11218
7/1/03,KINGS,BROOKLYN COLLEGE ACADEMY,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Senior High,350 CONEY ISLAND AVE,BROOKLYN,NY,11218
7/1/07,KINGS,MEVAKSHAI HASHEM,NON-PUBLIC SCHOOLS,JEWISH,Elementary,550 OCEAN PKWY,BROOKLYN,NY,11218
7/1/14,KINGS,BAIS SHIFRA,NON-PUBLIC SCHOOLS,JEWISH,Elementary,1327 38TH ST,BROOKLYN,NY,11218
7/1/80,KINGS,TORAH VODAATH HIGH SCHOOL,NON-PUBLIC SCHOOLS,JEWISH,Senior High,425 E 9TH ST,BROOKLYN,NY,11218
7/1/80,KINGS,YESHIVA TORAH VODAATH,NON-PUBLIC SCHOOLS,JEWISH,Elementary,425 E 9TH ST,BROOKLYN,NY,11218
7/1/01,KINGS,BONIM LAMOKOM,NON-PUBLIC SCHOOLS,JEWISH,Special School,425 E 9TH ST,BROOKLYN,NY,11218
7/1/03,KINGS,TALMUD TORAH OHEL YOCHANAN,NON-PUBLIC SCHOOLS,JEWISH,Elementary,1325 38TH ST,BROOKLYN,NY,11218
7/1/80,KINGS,PS 131,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Elementary,4305 FT HAMILTON PKWY,BROOKLYN,NY,11219
7/1/80,KINGS,KESSER MALKA,NON-PUBLIC SCHOOLS,JEWISH,Elementary,1019 46TH ST,BROOKLYN,NY,11219
7/1/04,KINGS,NESIVOS BAIS YAAKOV,NON-PUBLIC SCHOOLS,JEWISH,K-12 School,1017-1021 45TH ST,BROOKLYN,NY,11219
7/1/01,KINGS,BNOS MARGULIA VIZNITZ,NON-PUBLIC SCHOOLS,JEWISH,K-12 School,971 41ST ST,BROOKLYN,NY,11219
7/1/89,KINGS,YESHIVA BOYAN,NON-PUBLIC SCHOOLS,JEWISH,Elementary,1205 44TH ST,BROOKLYN,NY,11219
7/1/91,KINGS,BAIS BROCHO OF KARLIN STOLIN,NON-PUBLIC SCHOOLS,JEWISH,K-12 School,4314 10TH AVE,BROOKLYN,NY,11219
7/1/89,KINGS,BAIS YAAKOV FAIGEH SCHONBERGER OF ADAS YEREIM,NON-PUBLIC SCHOOLS,JEWISH,K-12 School,1169 43RD ST,BROOKLYN,NY,11219
7/1/99,KINGS,SHEMA KOLAINU-HEAR OUR VOICES,NON-PUBLIC SCHOOLS,JEWISH,Special School,4302 NEW UTRECHT AVE,BROOKLYN,NY,11219
7/1/80,KINGS,PS 105 BLYTHEBOURNE (THE),PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Elementary,1031 59TH ST,BROOKLYN,NY,11219
7/1/80,KINGS,PS 160 WILLIAM T SAMPSON,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Elementary,5105 FORT HAMILTON PKWY,BROOKLYN,NY,11219
7/1/03,KINGS,PS 164 CAESAR RODNEY,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Elementary,4211 14TH AVE,BROOKLYN,NY,11219
7/1/80,KINGS,PS 176 OVINGTON,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Elementary,1225 69TH ST,BROOKLYN,NY,11219
7/1/94,KINGS,IS 187 CHRISTA MCAULIFFE SCHOOL (THE),PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Middle School,1171 65TH ST,BROOKLYN,NY,11219
7/1/10,KINGS,SCHOOL FOR FUTURE LEADERS (THE),PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Elementary,942 62ND ST,BROOKLYN,NY,11219
7/1/80,KINGS,BETH JACOB HIGH SCHOOL,NON-PUBLIC SCHOOLS,JEWISH,Senior High,4420 15TH AVE,BROOKLYN,NY,11219
7/1/80,KINGS,BAIS ROCHEL SCHOOL OF BORO PARK,NON-PUBLIC SCHOOLS,JEWISH,K-12 School,5301 14TH AVE,BROOKLYN,NY,11219
7/1/80,KINGS,YESHIVA AND MESIFTA VAYOEL MOSHE,NON-PUBLIC SCHOOLS,JEWISH,Senior High,5301 14TH AVE,BROOKLYN,NY,11219
7/1/05,KINGS,CONGREGATION MACHNA SHALVA,NON-PUBLIC SCHOOLS,JEWISH,K-12 School,1363 50TH ST,BROOKLYN,NY,11219
7/1/09,KINGS,CONGREGATION BNOS YAAKOV,NON-PUBLIC SCHOOLS,JEWISH,Senior High,4512 14TH AVE,BROOKLYN,NY,11219
7/1/09,KINGS,DARKEI CHAIM,NON-PUBLIC SCHOOLS,JEWISH,Elementary,1470 56TH ST,BROOKLYN,NY,11219
7/1/12,KINGS,MOSDOS SATMAR BP,NON-PUBLIC SCHOOLS,JEWISH,Junior Senior School,5901 13TH AVE,BROOKLYN,NY,11219
7/1/15,KINGS,CONGREGATION YESHIVA BNEI TORAH INC,NON-PUBLIC SCHOOLS,JEWISH,Other,1571 55TH ST,BROOKLYN,NY,11219
7/1/15,KINGS,YESHIVA TOLDOS YESUSCHER,NON-PUBLIC SCHOOLS,JEWISH,Elementary,1531 63RD ST,BROOKLYN,NY,11219
7/1/15,KINGS,BAIS YAAKOV OF BENSONHURST,NON-PUBLIC SCHOOLS,JEWISH,Elementary,3901 14TH AVE,BROOKLYN,NY,11219
7/1/80,KINGS,BETH JACOB OF BORO PARK,NON-PUBLIC SCHOOLS,JEWISH,Elementary,1371 46TH ST,BROOKLYN,NY,11219
7/1/80,KINGS,BOBOVER YESHIVA BNEI ZION-15TH AVENUE,NON-PUBLIC SCHOOLS,JEWISH,Junior Senior School,4206-10 15TH AVE,BROOKLYN,NY,11219
7/1/80,KINGS,HEBREW ACADEMY FOR SPECIAL CHILDREN,NON-PUBLIC SCHOOLS,JEWISH,Special School,1318 60TH ST,BROOKLYN,NY,11219
7/1/80,KINGS,YESHIVA BETH HILLEL OF KRASNA,NON-PUBLIC SCHOOLS,JEWISH,Elementary,1364-66 42ND ST,BROOKLYN,NY,11219
7/1/80,KINGS,BAIS YITZCHAK SCHOOL,NON-PUBLIC SCHOOLS,JEWISH,Elementary,1413 45TH ST,BROOKLYN,NY,11219
7/1/80,KINGS,BNOS ZION OF BOBOV,NON-PUBLIC SCHOOLS,JEWISH,K-12 School,5000 14TH AVE,BROOKLYN,NY,11219
7/1/80,KINGS,YESHIVA YESODE HATORAH,NON-PUBLIC SCHOOLS,JEWISH,Elementary,1350 50TH ST,BROOKLYN,NY,11219
7/1/80,KINGS,MOSDOS CHASIDEI SQ-T Y Y BORO PARK,NON-PUBLIC SCHOOLS,JEWISH,Junior Senior School,1373 43RD ST,BROOKLYN,NY,11219
7/1/80,KINGS,TORAH VYIRAH OF BORO PARK,NON-PUBLIC SCHOOLS,JEWISH,Elementary,1348 53RD ST,BROOKLYN,NY,11219
7/1/80,KINGS,YESHIVA IMREI YOSEF SPINKA,NON-PUBLIC SCHOOLS,JEWISH,Junior Senior School,5801 15TH AVE,BROOKLYN,NY,11219
7/1/80,KINGS,YESHIVA TIFERES BUNIM,NON-PUBLIC SCHOOLS,JEWISH,Elementary,5202 13TH AVE,BROOKLYN,NY,11219
7/1/80,KINGS,BAIS ESTHER SCHOOL,NON-PUBLIC SCHOOLS,JEWISH,K-12 School,1353 50TH ST,BROOKLYN,NY,11219
7/1/80,KINGS,BAIS FRIMA CHINUCH CENTER,NON-PUBLIC SCHOOLS,JEWISH,K-12 School,1377 42ND ST,BROOKLYN,NY,11219
7/1/80,KINGS,TALMUD TORAH D'RABINU YOEL,NON-PUBLIC SCHOOLS,JEWISH,Elementary,5411 FT HAMILTON PKY,BROOKLYN,NY,11219
7/1/90,KINGS,YESHIVA CONGREGATION TORAS YUFA,NON-PUBLIC SCHOOLS,JEWISH,Junior Senior School,1056 54TH ST,BROOKLYN,NY,11219
7/1/92,KINGS,ZICHRON YEHUDA-BAIS SIMCHA,NON-PUBLIC SCHOOLS,JEWISH,Elementary,1051 59TH ST,BROOKLYN,NY,11219
7/1/93,KINGS,YESHIVA TIFERES SHMIEL,NON-PUBLIC SCHOOLS,JEWISH,Senior High,PO BOX 190738,BROOKLYN,NY,11219
7/1/98,KINGS,VIZNITZER CHAIDER TIFERES YISROEL,NON-PUBLIC SCHOOLS,JEWISH,Elementary,1416 43RD ST,BROOKLYN,NY,11219
7/1/99,KINGS,YESHIVA SHAREI HATZLUCHA,NON-PUBLIC SCHOOLS,JEWISH,Elementary,1535 63RD ST,BROOKLYN,NY,11219
7/1/01,KINGS,OHR TORAH,NON-PUBLIC SCHOOLS,JEWISH,Special School,4615 14TH AVE-3RD FL,BROOKLYN,NY,11219
7/1/80,KINGS,GUILD FOR EXCEPTIONAL CHILDREN,NON-PUBLIC SCHOOLS,INDEPENDENT,Pre-K Only,1273 57TH ST,BROOKLYN,NY,11219
7/1/11,KINGS,CONGREGATION BNOS CHAYA,NON-PUBLIC SCHOOLS,JEWISH,Elementary,4511 14TH AVE,BROOKLYN,NY,11219
7/1/15,KINGS,CONGREGATION CHASIDEI BELZ BETH MALKA,NON-PUBLIC SCHOOLS,JEWISH,Other,1563 57TH ST,BROOKLYN,NY,11219
7/1/13,KINGS,MESIVTA MEOR HATORAH,NON-PUBLIC SCHOOLS,JEWISH,Junior Senior School,1069 38TH ST,BROOKLYN,NY,11219
6/9/15,KINGS,CONGREGATION TALMIDEI MESIVTA TIFERES SHMIEL ALEKSANDER,NON-PUBLIC SCHOOLS,JEWISH,Senior High,1446 51ST ST,BROOKLYN,NY,11219
7/1/80,KINGS,PS 1 BERGEN (THE),PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Elementary,309 47TH ST,BROOKLYN,NY,11220
7/1/03,KINGS,PS 94 HENRY LONGFELLOW (THE),PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Elementary,5010 6TH AVE,BROOKLYN,NY,11220
7/1/80,KINGS,SAINT AGATHA SCHOOL,NON-PUBLIC SCHOOLS,ROMAN CATHOLIC - BROOKLYN DIOCESE,Elementary,736 48TH ST,BROOKLYN,NY,11220
7/1/00,KINGS,AL MADRASA AL ISLAMIYA,NON-PUBLIC SCHOOLS,ISLAMIC,Elementary,5224 3RD AVE,BROOKLYN,NY,11220
7/1/02,KINGS,PS 69 VINCENT D GRIPPO SCHOOL,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Elementary,6302 9TH AVE,BROOKLYN,NY,11220
7/1/80,KINGS,JHS 220 JOHN J PERSHING,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Middle School,4812 9TH AVE,BROOKLYN,NY,11220
7/1/06,KINGS,PS 503 SCHOOL OF DISCOVERY (THE),PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Elementary,330 59TH ST,BROOKLYN,NY,11220
7/1/06,KINGS,PS 506 SCHOOL OF JOURNALISM AND TECHNOLOGY (THE),PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Elementary,330 59TH ST,BROOKLYN,NY,11220
7/1/10,KINGS,"SCHOOL OF MATH, SCIENCE AND HEALTHY LIVING (THE)",PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Elementary,6214 4TH AVE,BROOKLYN,NY,11220
7/1/03,KINGS,HIGH SCHOOL OF TELECOMMUNICATIONS ARTS AND TECHNOLOGY,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Senior High,350 67TH ST,BROOKLYN,NY,11220
7/1/80,KINGS,OUR LADY OF PERPETUAL HELP CATHOLIC ACADEMY OF BROOKLYN,NON-PUBLIC SCHOOLS,ROMAN CATHOLIC - BROOKLYN DIOCESE,Elementary,5902 6TH AVE,BROOKLYN,NY,11220
7/1/89,KINGS,CONGREGATION KHAL CHASIDEI SKWER INC,NON-PUBLIC SCHOOLS,JEWISH,Elementary,4500 9TH AVE,BROOKLYN,NY,11220
7/1/80,KINGS,BAY RIDGE CHRISTIAN ACADEMY,NON-PUBLIC SCHOOLS,CHRISTIAN FUNDAMENTALIST,Elementary,6324 7TH AVE,BROOKLYN,NY,11220
7/1/92,KINGS,GATEWAY CITY ACADEMY,NON-PUBLIC SCHOOLS,CHRISTIAN FUNDAMENTALIST,Elementary,257 BAY RIDGE AVE,BROOKLYN,NY,11220
7/1/03,KINGS,PS 44 MARCUS GARVEY,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Elementary,432 MONROE ST,BROOKLYN,NY,11221
7/1/13,KINGS,UNITY PREPARATORY CHARTER SCHOOL OF BROOKLYN,PUBLIC SCHOOLS,CHARTER SCHOOL,Middle School,432 MONROE ST,BROOKLYN,NY,11221
7/1/80,KINGS,NEW YORK CITY GEOGRAPHIC DISTRICT #16,SCHOOL DISTRICTS,CITY,NA,1010 LAFAYETTE AVE,BROOKLYN,NY,11221
7/1/03,KINGS,PS 25 EUBIE BLAKE SCHOOL,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Elementary,787 LAFAYETTE AVE,BROOKLYN,NY,11221
7/1/80,KINGS,PS 26 JESSE OWENS,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Elementary,1014 LAFAYETTE AVE,BROOKLYN,NY,11221
7/1/03,KINGS,JHS 57 WHITELAW REID,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Middle School,125 STUYVESANT AVE,BROOKLYN,NY,11221
7/1/80,KINGS,PS 81 THADDEUS STEVENS,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Elementary,990 DEKALB AVE,BROOKLYN,NY,11221
7/1/99,KINGS,"MS 267 MATH, SCIENCE & TECHNOLOGY",PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Middle School,800 GATES AVE,BROOKLYN,NY,11221
7/1/03,KINGS,PS 308 CLARA CARDWELL,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Elementary,616 QUINCY ST,BROOKLYN,NY,11221
7/1/03,KINGS,PS 309 GEORGE E WIBECAN PREPARATORY ACADEMY,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Elementary,794 MONROE ST,BROOKLYN,NY,11221
7/1/03,KINGS,FREDERICK DOUGLASS ACADEMY IV SECONDARY SCHOOL,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Senior High,125 STUYVESANT AVE,BROOKLYN,NY,11221
7/1/12,KINGS,MADIBA PREP MIDDLE SCHOOL,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Middle School,1014 LAFAYETTE AVE,BROOKLYN,NY,11221
7/1/03,KINGS,BROOKLYN HIGH SCHOOL FOR LAW AND TECHNOLOGY,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Senior High,1396 BROADWAY,BROOKLYN,NY,11221
7/1/09,KINGS,BROOKLYN ACADEMY OF GLOBAL FINANCE (THE),PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Senior High,125 STUYVESANT AVE,BROOKLYN,NY,11221
7/1/97,KINGS,CHARLES CHURN CHRISTIAN ACADEMY,NON-PUBLIC SCHOOLS,BAPTIST,K-12 School,1052 GREENE AVE,BROOKLYN,NY,11221
7/1/03,KINGS,BROOKLYN EXCELSIOR CHARTER SCHOOL,PUBLIC SCHOOLS,CHARTER SCHOOL,Elementary,856 QUINCY ST,BROOKLYN,NY,11221
7/1/08,KINGS,BEDFORD STUYVESANT COLLEGIATE CHARTER SCHOOL,PUBLIC SCHOOLS,CHARTER SCHOOL,Junior Senior School,800 GATES AVE-4TH FL,BROOKLYN,NY,11221
7/1/08,KINGS,LA CIMA CHARTER SCHOOL,PUBLIC SCHOOLS,CHARTER SCHOOL,Elementary,800 GATES AVE,BROOKLYN,NY,11221
7/1/09,KINGS,EXCELLENCE GIRLS CHARTER SCHOOL,PUBLIC SCHOOLS,CHARTER SCHOOL,Elementary,794 MONROE ST-3RD FL,BROOKLYN,NY,11221
7/1/11,KINGS,TEACHING FIRMS OF AMERICA PROFESSIONAL PREPARATORY CHARTER SCHOOL,PUBLIC SCHOOLS,CHARTER SCHOOL,Elementary,616 QUINCY ST-3RD FL,BROOKLYN,NY,11221
7/1/80,KINGS,NEW YORK CITY GEOGRAPHIC DISTRICT #32,SCHOOL DISTRICTS,CITY,NA,797 BUSHWICK AVE,BROOKLYN,NY,11221
7/1/80,KINGS,PS 75 MAYDA CORTIELLA,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Elementary,95 GROVE ST,BROOKLYN,NY,11221
7/1/80,KINGS,PS 106 EDWARD EVERETT HALE,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Elementary,1328 PUTNAM AVE,BROOKLYN,NY,11221
7/1/80,KINGS,PS 274 KOSCIUSKO,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Elementary,800 BUSHWICK AVE,BROOKLYN,NY,11221
7/1/80,KINGS,JHS 291 ROLAND HAYES,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Middle School,231 PALMETTO ST,BROOKLYN,NY,11221
7/1/80,KINGS,PS 299 THOMAS WARREN FIELD SCHOOL,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Elementary,88 WOODBINE ST,BROOKLYN,NY,11221
7/1/01,KINGS,IS 347 SCHOOL OF HUMANITIES,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Middle School,35 STARR ST,BROOKLYN,NY,11221
7/1/80,KINGS,PS 377 ALEJANDRINA B DE GAUTIER,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Elementary,200 WOODBINE ST,BROOKLYN,NY,11221
7/1/04,KINGS,BUSHWICK COMMUNITY HIGH SCHOOL,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Senior High,231 PALMETTO ST,BROOKLYN,NY,11221
7/1/03,KINGS,EBC HIGH SCHOOL FOR PUBLIC SERVICE-BUSHWICK,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Senior High,1155 DEKALB AVE,BROOKLYN,NY,11221
7/1/03,KINGS,BUSHWICK LEADERS HS FOR ACADEMIC EXCELLENCE,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Senior High,797 BUSHWICK AVE,BROOKLYN,NY,11221
7/1/80,KINGS,SAINT FRANCES CABRINI CATHOLIC ACADEMY,NON-PUBLIC SCHOOLS,ROMAN CATHOLIC - BROOKLYN DIOCESE,Elementary,181 SUYDAM ST,BROOKLYN,NY,11221
7/1/10,KINGS,BUSHWICK ASCEND CHARTER SCHOOL,PUBLIC SCHOOLS,CHARTER SCHOOL,Elementary,751 KNICKERBOCKER AVE,BROOKLYN,NY,11221
7/1/14,KINGS,ACHIEVEMENT FIRST NORTH BROOKLYN PREPARATORY CHARTER SCHOOL,PUBLIC SCHOOLS,CHARTER SCHOOL,Elementary,200 WOODBINE ST,BROOKLYN,NY,11221
7/1/13,KINGS,"MATH, ENGINEERING AND SCIENCE ACADEMY CHARTER HIGH SCHOOL",PUBLIC SCHOOLS,CHARTER SCHOOL,Senior High,231 PALMETTO ST,BROOKLYN,NY,11221
7/1/80,KINGS,PS 31 SAMUEL F DUPONT,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Elementary,75 MESEROLE AVE,BROOKLYN,NY,11222
7/1/03,KINGS,PS 34 OLIVER H PERRY,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Elementary,131 NORMAN AVE,BROOKLYN,NY,11222
7/1/80,KINGS,PS 110 MONITOR (THE),PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Elementary,124 MONITOR ST,BROOKLYN,NY,11222
7/1/03,KINGS,JOHN ERICSSON MIDDLE SCHOOL 126,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Middle School,424 LEONARD ST,BROOKLYN,NY,11222
7/1/03,KINGS,AUTOMOTIVE HIGH SCHOOL,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Senior High,50 BEDFORD AVE,BROOKLYN,NY,11222
7/1/08,KINGS,FRANCES PERKINS ACADEMY,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Senior High,50 BEDFORD AVE,BROOKLYN,NY,11222
7/1/80,KINGS,SAINT STANISLAUS KOSTKA CATHOLIC SCHOOL,NON-PUBLIC SCHOOLS,ROMAN CATHOLIC - BROOKLYN DIOCESE,Elementary,12 NEWELL ST,BROOKLYN,NY,11222
7/1/09,KINGS,NORTHSIDE CHARTER HIGH SCHOOL,PUBLIC SCHOOLS,CHARTER SCHOOL,Senior High,424 LEONARD ST-4TH FL,BROOKLYN,NY,11222
7/1/13,KINGS,CITIZENS OF THE WORLD CHARTER SCHOOL NEW YORK 1,PUBLIC SCHOOLS,CHARTER SCHOOL,Elementary,424 LEONARD ST-3RD FL,BROOKLYN,NY,11222
7/1/03,KINGS,PS 721 BROOKLYN OCCUPATIONAL TRAINING CENTER,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Senior High,64 AVE X,BROOKLYN,NY,11223
7/1/80,KINGS,PS 95 GRAVESEND (THE),PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Elementary,345 VAN SICKLEN ST,BROOKLYN,NY,11223
7/1/80,KINGS,PS 97 HIGHLAWN (THE),PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Elementary,1855 STILLWELL AVE,BROOKLYN,NY,11223
