NAME,the_geom,ADDRESS1,ADDRESS2,CITY,ZIP,long,lat
Shades of Art,POINT (-73.97949383741295 40.68753305466083),47 Flatbush Ave,,Brooklyn,11217,-73.97949384,40.68753305
Shainman Jack Gallery,POINT (-74.006263402563 40.7463655471036),513 W 20th St,,Manhattan,10011,-74.0062634,40.74636555
Shapolsky Anita Gallery,POINT (-73.96455976643841 40.7653957451292),152 E 65th St,,Manhattan,10021,-73.96455977,40.76539575
Shawn Dulaney Studio,POINT (-73.992055668654 40.74147186911685),34 W 22nd St,,Manhattan,10010,-73.99205567,40.74147187
Shepherd & Derom Galleries,POINT (-73.96166653283252 40.77579398709301),58 E 79th St,,Manhattan,10021,-73.96166653,40.77579399
Shickman H Gallery,POINT (-73.95972631317878 40.76901768334879),220 E 72nd St,,Manhattan,10021,-73.95972631,40.76901768
Shulman B & M Inc,POINT (-73.9450654828952 40.600273523844436),2623 Avenue U,,Brooklyn,11229,-73.94506548,40.60027352
Sigrid Freundorfer Fine Art,POINT (-73.96809592587059 40.76848322657679),790 Madison Ave,,Manhattan,10021,-73.96809593,40.76848323
Silverstein Gallery Inc,POINT (-74.00610391839206 40.7465866957298),520 West 21st St,,Manhattan,10011,-74.00610392,40.7465867
Simply Marvelous Art,POINT (-73.79975655329956 40.70412220555415),159-15 Jamaica Ave,,Jamaica,11432,-73.79975655,40.70412221
Skoto Gallery,POINT (-74.00685030055344 40.746676581928234),529 W 20th St,,Manhattan,10011,-74.0068503,40.74667658
Sloan McGill Collection,POINT (-73.95565084132937 40.65961513441343),150 Midwood St,,Brooklyn,11225,-73.95565084,40.65961513
Smack Mellon Studios,POINT (-73.98985972420431 40.703750736899),92 Plymouth St,,Brooklyn,11201,-73.98985972,40.70375074
Smith Gallery,POINT (-74.00265775483314 40.748146010251716),447 W 24th St,,Manhattan,10011,-74.00265775,40.74814601
Society For Renewal of Christian Art,POINT (-73.96219073494362 40.765647029599016),217 E 66th St,,Manhattan,10021,-73.96219073,40.76564703
Soho 20,POINT (-74.00383257307128 40.74948117558807),511 W 25th St,,Manhattan,10001,-74.00383257,40.74948118
Soho Photo Gallery,POINT (-74.00555633265509 40.718964186297654),15 White St,,Manhattan,10013,-74.00555633,40.71896419
Soldwedel Kipp,POINT (-73.97074200370785 40.76224192243714),470 Park Ave,,Manhattan,10022,-73.970742,40.76224192
Soloman & Co Fine Art Gallerie,POINT (-73.96352461082171 40.77383485220909),959 Madison Ave,,Manhattan,10021,-73.96352461,40.77383485
Sonnabend Gallery Inc,POINT (-74.00640433268863 40.74753287385608),532 W 22nd St,,Manhattan,10011,-74.00640433,40.74753287
Soufer Gallery,POINT (-73.96219093364687 40.77578491128998),1015 Madison Ave,,Manhattan,10075,-73.96219093,40.77578491
Spencer Brownstone Gallery,POINT (-74.0028519546277 40.72259290570126),39 Wooster St.,,Manhattan,10013,-74.00285195,40.72259291
Sperone Westwater,POINT (-73.99926239580837 40.72544340968263),121 Greene St,,Manhattan,10012,-73.9992624,40.72544341
Spring,POINT (-73.98739580880391 40.70224827687764),126 Front St,,Brooklyn,11201,-73.98739581,40.70224828
Sragow Ellen Ltd,POINT (-73.99302490428965 40.74652176477976),153 West 27th Street,Room #505,Manhattan,10001,-73.9930249,40.74652176
St Etienne Galerie,POINT (-73.97562840191033 40.76331815027905),24 W 57th St,,Manhattan,10019,-73.9756284,40.76331815
Staley-Wise Gallery,POINT (-73.9976700930255 40.72388325006023),560 Broadway,,Manhattan,10012,-73.99767009,40.72388325
Start,POINT (-74.00158103055105 40.7219883380336),50 Greene St,,Manhattan,10013,-74.00158103,40.72198834
State of Art,POINT (-73.95791517359595 40.73022121777638),113 Franklin St,,Brooklyn,11222,-73.95791517,40.73022122
Steigrad Lawrence Fine Arts,POINT (-73.96622595705455 40.769820128615144),23 E 69th St,# 4F,Manhattan,10021,-73.96622596,40.76982013
Stein Gertrude Gallery,POINT (-73.98049753870134 40.76544488935683),200 West 57th Street,,Manhattan,10019,-73.98049754,40.76544489
Stephen Downes Gallery,POINT (-73.99647297058152 40.720124872165876),377 Broome St,,Manhattan,10013,-73.99647297,40.72012487
